NO,개최년도,무역관,지속선정여부,전시회명(영문),전시회명(국문),전시회명(약),개최시작일자,개최종료일자,개최미정여부,모집시작일자,모집종료일자,국가,도시,개최유형,전시장,전시회 설명,전시회 특징,전시품목,개최규모,개최규모단위,산업분야,비고(전시회 신청정보),유관기관 지원 전시회 여부,s,월
19,2027,북미지역본부 애틀랜타무역관,N,2027 Modex,2027 미국 애틀랜타 모덱스 물류 산업 박람회,2027 Modex,2027-01-01,2027-01-31,Y,,,미국,애틀란타(GA),오프라인,Georgia World Congress Center,"세계 최대 국제 공급망 박람회. 북미에서 가장 큰 공급망, 물류 전시회중 하나","MODEX 전시회는 MHI(미국물류산업협회)가 주최하며, 전 세계 공급망 전문가와 바이어들이 한자리에 모여 최신 물류 장비와 첨단 기술을 직접 확인하고 교류할 수 있는 글로벌 비즈니스 플랫폼입니다.","풀필먼트/배송, 제조/조립 솔루션, IT솔루션, 물류이송로봇 등",600000,sqft (ft²),물류&운송,"★ 본 전시회는 주최측의 사정에 따라 개최일자 또는 개최 여부가 변동될 수 있으므로 전시회 참가 및 참관 전 반드시 주최자 또는 전시장으로 사전문의 바랍니다.



MODEX 2026 전시회는 아직 개최 전으로, 참관객 수는 약 1,100명으로 예상되며, 참가국 수 등 다른 세부 성과 정보는 주최 측에서 공식적으로 발표하지 않았음. 다만, 전년도(2024년)에는 전 세계 100개국 이상이 참여하였고, KOTRA 애틀랜타 무역관 주관으로 한국관이 구성되어 총 8개 한국 업체가 참가함.",N,2027-01-01,1
20,2027,북미지역본부 애틀랜타무역관,N,Verticon 2027,2027 미국 애틀랜타 헬리콥터 전시회 [Verticon],Verticon,2027-01-01,2027-01-31,Y,,,미국,애틀란타(GA),오프라인,Georgia World Congress Center & Omni Hotel,"세계 최대 규모의 헬리콥터·VTOL 산업 전시회로, 기체·부품·MRO·항공전자 등 전 산업을 아우르며 글로벌 업계 네트워킹과 최신 기술을 선보이는 전문 전시회","매년 600개 이상 기업, 15,000명 이상의 업계 종사자들이 참가하는 글로벌 행사. B2B 중심 전시회로, 계약 체결 및 파트너십 협약이 다수 발표","헬리콥터 기체, 엔진·부품, 항공전자, 정비·수리(MRO)",1000000,sqft (ft²),"항공&우주, 방위산업","★ 본 전시회는 주최측의 사정에 따라 개최일자 또는 개최 여부가 변동될 수 있으니 전시회 참가 및 참관 전 반드시 주최자 또는 전시장으로 사전문의 바랍니다.

주최 측에서 개최국 비공개. 다만, 2026년도 기준 전체 참가국수 75개국 이상, 전체 참관객수 15,000명 이상  75+ 개국 참가 예정. ",N,2027-01-01,1
22,2027,북미지역본부 로스앤젤레스무역관,N,Consumer Electronics Show,2027 미국 라스베가스 소비재전자 전시회 [CES],CES,2027-01-06,2027-01-09,N,,,미국,라스베가스,오프라인,The Venetian-Sands Expo Convention Center,"세계가전전시회(CES·Consumer Electronics Show)는 미국소비자기술협회(CTA · Consumer Technology)가 주관해 매년 열리는 세계 최대 규모의 가전제품 전시회이다.  1967년 미국 뉴욕에서 제1회 대회가 열린 이후 지금까지 이어지면서 세계 가전업계의 흐름을 한눈에 볼 수 있는 권위있는 행사로 자리매김했으며, TV, 오디오, 비디오 등 일상 생활과 밀접한 전자제품을 주로 소개한다.",,"5G, 블록체인, AI, 모빌리티, 드론로봇 등 40여개 분야",167000,sqm(㎡),정보통신기술(IT)&S/W,"★ 본 전시회는 주최측의 사정에 따라 개최일자 또는 개최 여부가 변동될 수 있으므로 전시회 참가 및 참관 전 반드시 주최자 또는 전시장으로 사전문의 바랍니다.

★ 전년도 참가성과 추후 업데이트 예정",N,2027-01-06,1
27,2027,북미지역본부 워싱턴DC무역관,N,2027 Transportation Research Board Annual Meeting,2027 미국 워싱턴 교통위원회 연례회담 전시회 [TRB],TRB,2027-01-10,2027-01-14,N,,,미국,워싱턴,오프라인,Walter E Washington Convention Center,"TRB 연례 회의(Transportation Research Board Annual Meeting)**는 교통 분야에서 세계적으로 권위 있는 학술 및 산업 박람회로, 이 회의는 정책 결정자, 연구자, 실무자, 정부 및 산업계 관계자 등 다양한 전문가들이 모여 교통 관련 최신 연구와 기술을 공유하고 논의하는 자리로, 전 세계 교통 산업의 동향을 파악하고 네트워킹할 수 있는 중요한 플랫폼입니다.","TRB의 연례 회의에는  정책 입안자, 행정가, 실무자, 연구자, 정부 대표, 산업계, 학계 기관 대표를 포함한 세계 수천 명의 운송 전문가가 이 관심 주제를 다루는 세션과 워크숍을 통해 모든 교통 수단을 다루고 있음","지능형 교통 시스템(ITS), 교통 계획 및 시뮬레이션 소프트웨어, 도로 및 교량 설계 기술, 교통 안전 장비 및 솔루션, 철도 및 대중교통 기술, 환경 친화적 교통 수단, 데이터 수집 및 분석 도구",280000,sqft (ft²),"전력&에너지, 건축&기자재, 정보통신기술(IT)&S/W","★ 본 전시회는 주최측의 사정에 따라 개최일자 또는 개최 여부가 변동될 수 있으므로 전시회 참가 및 참관 전 반드시 주최자 또는 전시장으로 사전문의 바랍니다.



* 전년도 성과 관련 구체적인 수치와 세부 정보는 해당 전시회의 공식 웹사이트와 일반적인 검색을 통해 확인하였으나, 정확한 참관객 수, 참가국 수, 전체 참가 업체 수 등 세부 성과 정보는 공개되지 않았습니다. 이에 따라 관련 성과 수치를 보고서에 기재할 수 없음을 양해 부탁드립니다.",N,2027-01-10,1
28,2027,북미지역본부 뉴욕무역관,N,NRF Retail's Big Show,2027 미국 뉴욕 소매유통업 전시회 [NRF],NRF,2027-01-10,2027-01-12,N,,,미국,뉴욕,오프라인,Jacob K. Javits Convention Center,미국소매협회(NRF)가 매년 미국 뉴욕에서 주최하는 최대 규모의 소매 유통 산업 전시회로 세계 유통 산업의 흐름과 트렌드를 파악하고 비즈니스 네트워킹을 통해 업계 전문가들과 교류할 수 있음,,소매 유통업,150000,sqft (ft²),"금융&비즈니스서비스, 생활용품&가구, 전기전자&반도체","★본 전시회는 주최 측 사정에 따라 개최 일정 또는 개최 여부가 변경될 수 있으므로, 참가 및 참관 전 반드시 주최 측 또는 전시장에 사전 문의해 주시기 바랍니다. 

또한 주최 측에서는 전년도 참가 성과 관련 정보를 별도로 공개하지 않고 있음",N,2027-01-10,1
42,2027,북미지역본부 워싱턴DC무역관,N,Mid-Atlantic Nursery Trade Show [MANTS],2027 미국 볼티모어 원예 전시회 [Mid-Atlantic Nursery Trade Show],MANTS,2027-01-13,2027-01-15,N,,,미국,볼티모어,오프라인,Baltimore Convention Center,"Mid-Atlantic Nursery Trade Show (MANTS)는 원예 및 조경 산업의 주요 비즈니스 박람회로 교육 세션 없이 순수 B2B 거래에 집중하며, 업계의 최신 제품과 기술을 선보이는 자리로 자리매김하고 있습니다. ",,"관목, 나무, 다년생 식물 등 원예 식물, 조경 및 정원 장비, 온실 및 양묘장 자재, 정원용 가구 및 장식품, 농업 및 원예 관련 소프트웨어 및 서비스",300000,sqft (ft²),농수산&임업,"★ 본 전시회는 주최측의 사정에 따라 개최일자 또는 개최 여부가 변동될 수 있으므로 전시회 참가 및 참관 전 반드시 주최자 또는 전시장으로 사전문의 바랍니다.



* 전년도 성과 관련 구체적인 수치와 세부 정보는 해당 전시회의 공식 웹사이트와 일반적인 검색을 통해 확인하였으나,  해당 전시회가 지역 사회에 중점을 둔 행사로서 관련 정보를 제공하지 않아 정확한 참관객 수, 참가국 수, 전체 참가 업체 수 등 세부 성과 정보는 파악할 수 없었습니다. 이에 따라 관련 성과 수치를 기재할 수 없음을 양해 부탁드립니다.",N,2027-01-13,1
52,2027,북미지역본부 워싱턴DC무역관,N,Travel & Adventure Show 2027,2027 미국 워싱턴 여행 전시회 [Travel Show],Travel Show,2027-01-16,2027-01-17,N,,,미국,워싱턴,오프라인,Walter E Washington Convention Center,"워싱턴 D.C. 트래블 & 어드벤처 쇼는 세계 각국의 여행 목적지, 여행사, 크루즈 라인, 여행 제공자들을 한 곳에서 만날 수 있는 전시회입니다. 이 전시회는 참가자들이 다양한 여행 옵션을 발견하고, 맞춤형 여행 계획을 세우며, 여행 전문가와 직접 소통할 수 있는 기회를 제공합니다. 350개 이상의 출품업체들이 참석하며, 최신 여행 팁과 특별 여행 할인, 경품이 제공됩니다.",,"여행지 소개, 여행 패키지, 크루즈라인, 여행 관련 제품 및 서비스",600000,sqft (ft²),레저&관광,"★ 본 전시회는 주최측의 사정에 따라 개최일자 또는 개최 여부가 변동될 수 있으므로 전시회 참가 및 참관 전 반드시 주최자 또는 전시장으로 사전문의 바랍니다.



* 전년도 성과 관련 구체적인 수치와 세부 정보는 해당 전시회의 공식 웹사이트와 일반적인 검색을 통해 확인하였으나, 정확한 참관객 수, 참가국 수, 전체 참가 업체 수 등 세부 성과 정보는 공개되지 않았습니다. 이에 따라 관련 성과 수치를 보고서에 기재할 수 없음을 양해 부탁드립니다.",N,2027-01-16,1
66,2027,북미지역본부 뉴욕무역관,N,Première Vision New York,2027 미국 뉴욕 프레미에르비죵 섬유 전시회 [PVNY],PVNY,2027-01-19,2027-01-20,N,,,미국,뉴욕,오프라인,The venue Tribeca Rooftop + 360&deg;,"매년 춘계·추계로 나뉘어 개최되는 국제적인 프리미엄 섬유 소재 전시회로 유럽의 섬유 선진국인 이탈리아, 프랑스 등이 주축이 되며 글로벌 패션 및 원단 산업 관련 업체와 업계 다양한 전문가가 참여함. 주최사 자격 심사를 통해 참가 자격이 주어지므로 뉴욕 및 북미 시장의 엄선된 유수 바이어들이 초청됨",,"의류용 섬유, 원단, 의류 부자재 등",150000,sqft (ft²),패션&섬유,"★본 전시회는 주최 측 사정에 따라 개최 일정 또는 개최 여부가 변경될 수 있으므로, 참가 및 참관 전 반드시 주최 측 또는 전시장에 사전 문의해 주시기 바랍니다. 

또한 주최 측에서는 전년도 참가 성과 관련 정보를 별도로 공개하지 않고 있음, 차년도 개최 일정 역시 현재까지 확정 및 공지되지 않은 상태입니다.",N,2027-01-19,1
67,2027,북미지역본부 뉴욕무역관,N,New York Boat Show,2027 미국 뉴욕 보트 전시회 [SPIN],SPIN,2027-01-20,2027-01-24,N,,,미국,뉴욕,오프라인,Jacob K. Javits Convention Center,"1905년에 시작되어 해마다 수천 명의 보트, 요트 및 낚시 애호가들이 찾는 미국의 3대 보트 전시회 중 하나로 최신 해양 장비 및 기술을 포함한 디자인과 모델들을 선보이며 다양한 관련 상품을 제공함",,"보트, 요트, 보트용품, 낚시용품 등",150000,sqft (ft²),"조선&플랜트, 건강&스포츠, 레저&관광","★본 전시회는 주최 측 사정에 따라 개최 일정 또는 개최 여부가 변경될 수 있으므로, 참가 및 참관 전 반드시 주최 측 또는 전시장에 사전 문의해 주시기 바랍니다. 

또한 주최 측에서는 전년도 참가 성과 관련 정보를 별도로 공개하지 않고 있음",N,2027-01-20,1
76,2027,북미지역본부 애틀랜타무역관,N,2027 PGA Show,2027 미국 올랜도 골프용품 전시회,PGA SHOW ,2027-01-21,2027-01-24,N,,,미국,올랜도,오프라인,Orange County Convention Center,0,"세계 최대 골프 비즈니스 박람회로 1,000개 이상의 골프 관련 업체들이 참가하며, 장비, 기술, 의류, 액세서리 등 골프 산업 전반을 아우르는 광범위한 전시 품목을 가진 전문 박람회","골프용품, 장비, 의류, 골프장 시설 서비스, 액세서리 등",160000,sqft (ft²),건강&스포츠,0,N,2027-01-21,1
81,2027,북미지역본부 워싱턴DC무역관,N,The Washington Auto Show 2027,2027 미국 워싱턴 자동차 산업 전시회 [Washington Auto Show],Washington Auto Show,2027-01-22,2027-01-31,N,,,미국,워싱턴,오프라인,Walter E Washington Convention Center,"Washington Auto Show 행사는 자동차 관련 행사로는 전세계 5대 자동차 전시회이다. 세계 자동차 협회에서 추진해 오고 있는 이 행사는 최첨단의 전시품들과 최신 모델 자동차부터 구형 자동차까지 매년 다양한 자동차 제품들을 선보이고 있고, 무엇보다 매회 놀라운 규모로 사람들에게 주목을 받고 있는 행사이다. 전시회에는 매년 현대, 제네시스, 기아를 포함해 35개가 넘는 업체가 참여하고 있으며, 600개가 넘는 자동차 모델들이 전시되고 있다. 또한 행사의 유명세와 걸맞게 여러 유명인사들도 많이 참여하고 있다. 본 행사는 자동차 생산업과 새로운 기술과 발전에 기여하고 있으며, 행사 내 프로그램을 통한 새로운 아이디어 창출과 기업간에 소통 기회 및 파트너쉽을 만드는데 목적을 두고있다. 자동차를 사랑하는 전세계 사람들을 포함해, 자동차 부품, 마케팅, 자동차 제품 등 자동차와 관련된 많은 기업들이 혁신적인 기술 발굴과 아이디어 창출을 위해 Washington Auto Show 행사에 참여하는 것으로 알려진다. 추가적인 전시전 참가 내용과 티켓 가격은 웹사이트를 통하여 더 자세히 알아볼 수 있다.",,"전기차 및 하이브리드 차량, 클래식 및 수퍼카, 커스텀 및 튜닝카, 상용차 및 친환경 연료 차량",600000,sqft (ft²),자동차,★ 본 전시회는 주최측의 사정에 따라 개최일자 또는 개최 여부가 변동될 수 있으므로 전시회 참가 및 참관 전 반드시 주최자 또는 전시장으로 사전문의 바랍니다.,N,2027-01-22,1
87,2027,북미지역본부 시카고무역관,N,"International Air‑Conditioning, Heating, Refrigerating Exposition",2027 미국 시카고 냉동 공조기기 전시회,AHR,2027-01-25,2027-01-27,N,,,미국,시카고,오프라인,McCormick Place,"- HVACR(Heating, Ventilation, Air-Conditioning and Refrigeration) 산업 전반을 아우르는 세계 최대 규모의 냉동공조 박람회 - 글로벌 기업과 전문가들이 참가하여 최신 기술과 솔루션을 공유하는 네트워킹 장 - 산업 트렌드와 신기술을 배울 수 있는 다양한 교육 세션, 세미나, 패널 토론 제공 - 혁신 어워드 및 신제품 발표 극장을 통해 최신 제품과 기술 공개 - 참가자가 직접 체험할 수 있는 실시간 제품 데모와 전시관 운영 - 팟캐스트 퍼빌리온, 패널 시리즈 등 다양한 미디어와 참여형 프로그램 진행","- HVACR(Heating, Ventilation, Air-Conditioning and Refrigeration) 산업 전반을 아우르는 세계 최대 규모의 냉동공조 박람회 - 글로벌 기업과 전문가들이 참가하여 최신 기술과 솔루션을 공유하는 네트워킹 장 - 산업 트렌드와 신기술을 배울 수 있는 다양한 교육 세션, 세미나, 패널 토론 제공 - 혁신 어워드 및 신제품 발표 극장을 통해 최신 제품과 기술 공개 - 참가자가 직접 체험할 수 있는 실시간 제품 데모와 전시관 운영 - 팟캐스트 퍼빌리온, 패널 시리즈 등 다양한 미디어와 참여형 프로그램 진행","난방, 냉방, 냉동, 환기, 배관, IAQ, 자동화·제어, 소프트웨어 등",527520,sqft (ft²),기타,,N,2027-01-25,1
88,2027,북미지역본부 시카고무역관,N,International Air-Conditioning Heating Refrigeration Exposition 2027,2027 미국 시카고 냉동 공조기기 전시회,AHR,2027-01-25,2027-01-27,N,,,미국,시카고,오프라인,McCormick Place,"전문가가 주도하는 프로그램은 오늘날의 모범 사례, 업계 동향, ROI 향상을 위한 팁 및 전문적인 성장을 촉진하는 방법에 대한 100개 이상의 무료 세션 제공 메이저 회사와 신생회사의 신제품 발표 및 제품 사항 확인 가능","전문가가 주도하는 프로그램은 오늘날의 모범 사례, 업계 동향, ROI 향상을 위한 팁 및 전문적인 성장을 촉진하는 방법에 대한 100개 이상의 무료 세션 제공 메이저 회사와 신생회사의 신제품 발표 및 제품 사항 확인 가능","전기전자&반도체, 전력&에너지, 기계&장비",0,sqm(㎡),"전기전자&반도체, 전력&에너지, 기계&장비",,N,2027-01-25,1
104,2027,북미지역본부 뉴욕무역관,N,Philadelphia Gift Show,2027 미국 필라델피아 선물 전시회 [SPIN],SPIN,2027-01-31,2027-02-02,N,,,미국,필라델피아,오프라인,Greater Philadelphia Expo Center,"매년 필라델피아에서 열리는 기프트 및 홈 제품 전문 무역 박람회로 평균 약 200개 이상의 기업이 참가하며 선물용품, 문구용품, 패션 액세서리, 공예품, 기념품, 홈 데코 제품 등을 포함한 100여 개 이상의 다양한 제품 카테고리를 만나볼 수 있음. 업계 전문가가 참여하는 세미나 및 워크숍 등의 프로그램과 함께 최신 트렌드를 발견하고 비즈니스 기회를 탐색할 수 있는 플랫폼을 제공함",,"선물용품, 문구용품, 액세서리, 홈 디자인 제품, 어린이용 제품, 공예품, 핸드메이드 제품, 주방용품 등",150000,sqft (ft²),"패션&섬유, 문구&선물, 생활용품&가구, 유아·아동&교육&임산부","★본 전시회는 주최 측 사정에 따라 개최 일정 또는 개최 여부가 변경될 수 있으므로, 참가 및 참관 전 반드시 주최 측 또는 전시장에 사전 문의해 주시기 바랍니다. 

또한 주최 측에서는 전년도 참가 성과 관련 정보를 별도로 공개하지 않고 있음",N,2027-01-31,1
