No,전시회명(영문),전시회명(국문),회의시작일,회의종료일,전시시작일,전시종료일,일자확정여부,개최주기,2027개최여부,도시,주,전시장,산업분야,규모,규모기준연도,한국관모집상태,한국관운영기관,출처구분,검증등급,공식URL,확인일자,비고
14,IMTS,2027 미국 시카고 국제제조기술전시회,,,,,해당없음,격년(짝수년),❌ 미개최,시카고,IL,McCormick Place,공작기계,,,⚠ 미확인,⚠ 미확인,외부,✅,imts.com,2026-08-11,다음 회차 2028
15,Interfiliere NY,2027 미국 뉴욕 수영복 및 란제리 전시회 [Interfiliere NY],,,,,미정,⚠ 미확인,⚠ 미확인,뉴욕,,Metropolitan Pavilion in New York,패션&섬유,150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-01-01~2027-01-31
16,Luxe Pack New York,2027 미국 뉴욕 포장재 전시회,,,,,미정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,"패션&섬유, 문구&선물",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-01-01~2027-01-31
17,MD&M Midwest,2027 미국 미네아폴리스 포장 전시회 [MD&M Midwest],,,,,미정,⚠ 미확인,⚠ 미확인,미네아폴리스,,Minneapolis Convention Center,"환경&폐기물, 유리&광학, 기타",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-10-01~2027-10-31
18,MEDevice Boston],2027 미국 보스턴 의료기기 전시회(MEDevice) [MEDevice Boston],,,,,미정,⚠ 미확인,⚠ 미확인,보스턴,,Boston Convention & Exhibition Center,"의료&제약, 바이오",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-08-01~2027-08-31
19,MODEX,2027 미국 애틀랜타 물류 전시회,,,,,해당없음,격년(짝수년),❌ 미개최,애틀랜타,GA,Georgia World Congress Center,물류·공급망,,,⚠ 미확인,⚠ 미확인,양쪽(⚠GEP오류),✅,modexshow.com,2026-08-11,🔴 GEP 오류 수록. 실제 2026/4/13-16 → 다음 2028/4/3-6
20,Make Up in New York,2027 미국 뉴욕 메이크업 전시회,,,,,미정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,뷰티&미용용품,150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-09-01~2027-09-30
21,Modern Day Marine 2027,2027 미국 워싱턴 해병 기술 전시회 [Modern Day Marine],,,,,미정,⚠ 미확인,⚠ 미확인,워싱턴,,Walter E Washington Convention Center,"방위산업, 항공&우주",84000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-01-01~2027-01-31
22,NAB Show New York,2027 미국 뉴욕 방송장비 전시회 [NAB],,,,,미정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,문화콘텐츠&미디어,150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-10-01~2027-10-31
23,NY NOW,2027 미국 뉴욕 라이프스타일 전시회 [NY NOW],,,,,미정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,문구&선물,150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-02-01~2027-02-28
24,New York City Jewelry & Watch Show,2027 미국 뉴욕 쥬얼리 & 워치 전시회,,,,,미정,⚠ 미확인,⚠ 미확인,뉴욕,,Metropolitan Pavilian,쥬얼리,150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-10-01~2027-10-31
25,New York Comic Con,2027 미국 뉴욕 코믹콘 전시회 [Comic Con],,,,,미정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,"기타, 문화콘텐츠&미디어",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-10-01~2027-10-31
26,New York Vet Show,2027 미국 뉴욕 수의학 전시회 [NY VET],,,,,미정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,"의료&제약, 동물&애완용품",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-10-01~2027-10-31
27,Otakon 2027,2027 미국 워싱턴 애니메이션 전시회 [OTAKON],,,,,미정,⚠ 미확인,⚠ 미확인,워싱턴,,Walter E Washington Convention Center,문화콘텐츠&미디어,100000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-08-01~2027-08-31
28,PGA Show 2027,2027 미국 올랜도 골프용품 전시회,,,,,미정,⚠ 미확인,⚠ 미확인,올랜도,,Orange County Convention Center,"건강&스포츠, 문화콘텐츠&미디어",3740349,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-01-01~2027-01-31
29,SPIN EXPO,2027 미국 뉴욕 스핀 전시회 [SPIN],,,,,미정,⚠ 미확인,⚠ 미확인,뉴욕,,Metropolitan Pavilian,패션&섬유,150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-01-01~2027-01-31
30,Small Business Expo,2027 미국 뉴욕 중소기업 전시회 [SBE],,,,,미정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,"금융&비즈니스서비스, 레저&관광, 건강&스포츠, 생활용품&가구",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-01-01~2027-01-31
31,Snowbound Expo,"2027 미국 보스턴 스키, 스노우보드 전시회",,,,,미정,⚠ 미확인,⚠ 미확인,커네티컷,,Mohegan Sun,"생활용품&가구, 레저&관광, 패션&섬유, 건강&스포츠",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-11-01~2027-11-30
32,TCS New York City Marathon Expo,2027 미국 뉴욕 마라톤 전시회 [TCS],,,,,미정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,"레저&관광, 건강&스포츠, 기계&장비",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-11-01~2027-11-30
33,Tampa Bay Comic Convention,2027 미국 플로리다 코믹콘 전시회,,,,,미정,⚠ 미확인,⚠ 미확인,플로리다,,Tampa Convention Center,"문화콘텐츠&미디어, 문구&선물",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-09-01~2027-09-30
34,Texworld New York City,2027 미국 뉴욕 하계 텍스월드 전시회,,,,,미정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,패션&섬유,150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-07-01~2027-07-31
35,The Event Planner Expo,2027 미국 뉴욕 이벤트 플래너 전시회,,,,,미정,⚠ 미확인,⚠ 미확인,뉴욕,,Metropolitan Pavilian,"기타, 금융&비즈니스서비스",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-10-01~2027-10-31
36,The Prego Expo,2027 미국 뉴욕 프레고 전시회 [The Prego Expo],,,,,미정,⚠ 미확인,⚠ 미확인,뉴욕,,Metropolitan Pavilian,유아·아동&교육&임산부,150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-01-01~2027-01-31
37,The Premiere Orlando & Premiere DAY SPA Show 2027,2027 미국 올랜도 프리미어 & 프리미어 스파 전시회,,,,,미정,⚠ 미확인,⚠ 미확인,올랜도,,Orange County Convention Center,"뷰티&미용용품, 문화콘텐츠&미디어",3740349,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-01-01~2027-01-31
38,The Rug Show,2027 미국 뉴욕 양탄자 전시회,,,,,미정,⚠ 미확인,⚠ 미확인,뉴욕,,Meadowlands Exposition Center,"생활용품&가구, 패션&섬유",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-09-01~2027-09-30
39,The Whole Bead Show,2027 미국 뉴욕 공예품 전시회,,,,,미정,⚠ 미확인,⚠ 미확인,뉴욕,,Martinique Hotel New York on Broadway,"쥬얼리, 기타",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-03-01~2027-03-31
40,Verticon 2027,2027 미국 애틀랜타 헬리콥터 전시회 [Verticon],,,,,미정,⚠ 미확인,⚠ 미확인,애틀란타(GA),,Georgia World Congress Center & Omni Hotel,"항공&우주, 방위산업",1000000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-01-01~2027-01-31
41,AHR Expo,2027 미국 시카고 공조냉난방 전시회,,,2027-01-25,2027-01-27,확정,연1회,개최,시카고,IL,McCormick Place,공조·냉난방(HVACR),,,⚠ 미확인,⚠ 미확인,양쪽(교차일치),✅,ahrexpo.com,2026-08-11,"10-18시, 최종일 16시 단축. GEP 교차일치"
42,PACK EXPO Las Vegas,2027 미국 라스베가스 패키징 전시회,,,2027-09-27,2027-09-29,확정,격년(홀수년),개최,라스베가스,NV,Las Vegas Convention Center,패키징·가공,,,⚠ 미확인,⚠ 미확인,외부,✅,packexpolasvegas.com,2026-08-11,"9-17시, 최종일 15시 단축. GEP 미수록"
43,Consumer Electronics Show (CES),2027 미국 라스베가스 소비자가전 전시회,2027-01-06,2027-01-09,,,확정,연1회,개최,라스베가스,NV,Las Vegas Convention Center 외 12개 회장,소비자가전·IT,,,⚠ 미확인,⚠ 미확인,양쪽(교차일치),✅,ces.tech,2026-08-11,GEP 교차일치
44,2027 Transportation Research Board Annual Meeting,2027 미국 워싱턴 교통위원회 연례회담 전시회 [TRB],2027-01-10,2027-01-14,,,확정,⚠ 미확인,⚠ 미확인,워싱턴,,Walter E Washington Convention Center,"전력&에너지, 건축&기자재, 정보통신기술(IT)&S/W",280000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
45,NRF Retail's Big Show,2027 미국 뉴욕 소매유통업 전시회 [NRF],2027-01-10,2027-01-12,,,확정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,"금융&비즈니스서비스, 생활용품&가구, 전기전자&반도체",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
46,Mid-Atlantic Nursery Trade Show [MANTS],2027 미국 볼티모어 원예 전시회 [Mid-Atlantic Nursery Trade Show],2027-01-13,2027-01-15,,,확정,⚠ 미확인,⚠ 미확인,볼티모어,,Baltimore Convention Center,농수산&임업,300000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
47,Travel & Adventure Show 2027,2027 미국 워싱턴 여행 전시회 [Travel Show],2027-01-16,2027-01-17,,,확정,⚠ 미확인,⚠ 미확인,워싱턴,,Walter E Washington Convention Center,레저&관광,600000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
48,Première Vision New York,2027 미국 뉴욕 프레미에르비죵 섬유 전시회 [PVNY],2027-01-19,2027-01-20,,,확정,⚠ 미확인,⚠ 미확인,뉴욕,,The venue Tribeca Rooftop + 360&deg;,패션&섬유,150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
49,New York Boat Show,2027 미국 뉴욕 보트 전시회 [SPIN],2027-01-20,2027-01-24,,,확정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,"조선&플랜트, 건강&스포츠, 레저&관광",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
50,2027 PGA Show,2027 미국 올랜도 골프용품 전시회,2027-01-21,2027-01-24,,,확정,⚠ 미확인,⚠ 미확인,올랜도,,Orange County Convention Center,건강&스포츠,160000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
51,The Washington Auto Show 2027,2027 미국 워싱턴 자동차 산업 전시회 [Washington Auto Show],2027-01-22,2027-01-31,,,확정,⚠ 미확인,⚠ 미확인,워싱턴,,Walter E Washington Convention Center,자동차,600000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
52,International Air-Conditioning Heating Refrigeration Exposition 2027,2027 미국 시카고 냉동 공조기기 전시회,2027-01-25,2027-01-27,,,확정,⚠ 미확인,⚠ 미확인,시카고,,McCormick Place,"전기전자&반도체, 전력&에너지, 기계&장비",0,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
53,"International Air‑Conditioning, Heating, Refrigerating Exposition",2027 미국 시카고 냉동 공조기기 전시회,2027-01-25,2027-01-27,,,확정,⚠ 미확인,⚠ 미확인,시카고,,McCormick Place,기타,527520,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
54,International Pipeline Pigging Forum,2027 미국 휴스턴 파이프라인 피깅 포럼,2027-01-25,2027-01-28,,,확정,연1회,개최,휴스턴,TX,George R. Brown CC,파이프라인·에너지,,,⚠ 미확인,⚠ 미확인,외부,⚠,,2026-08-11,컨벤션센터 캘린더 기반
55,Dallas Franchise Show,2027 미국 달라스 프랜차이즈 전시회,2027-01-30,2027-01-31,,,확정,연1회,개최,달라스,TX,⚠ 미확인,프랜차이즈,,,⚠ 미확인,⚠ 미확인,외부,⚠,franchiseshowinfo.com,2026-08-11,
56,Philadelphia Gift Show,2027 미국 필라델피아 선물 전시회 [SPIN],2027-01-31,2027-02-02,,,확정,⚠ 미확인,⚠ 미확인,필라델피아,,Greater Philadelphia Expo Center,"패션&섬유, 문구&선물, 생활용품&가구, 유아·아동&교육&임산부",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
57,2027 Makeup in LA,2027 미국 로스앤젤레스 스킨케어 전시회,2027-02,2027-02,,,월단위추정,⚠ 미확인,⚠ 미확인,로스앤젤레스,,Los Angeles Convention Center,뷰티&미용용품,8000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-02~2027-02
58,2027 International Builder's Show,2027 미국 라스베가스 건축산업 전시회,2027-02-02,2027-02-04,,,확정,⚠ 미확인,⚠ 미확인,라스베가스,,Las Vegas Convention Center,기타,45000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
59,NAPE Summit,2027 미국 휴스턴 석유가스 자산거래 서밋,2027-02-03,2027-02-05,,,확정,연1회,개최,휴스턴,TX,George R. Brown CC,석유·가스,,,⚠ 미확인,⚠ 미확인,외부,⚠,,2026-08-11,컨벤션센터 캘린더 기반
60,Shoppe Object New York,2027 미국 뉴욕 디자인 오브제 전시회 [Shoppe Object New York],2027-02-07,2027-02-09,,,확정,⚠ 미확인,⚠ 미확인,뉴욕,,The Starrett-Lehigh Building,"문구&선물, 뷰티&미용용품, 쥬얼리, 패션&섬유",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
61,Hydrogen Technology Expo North America,2027 미국 휴스턴 수소기술 전시회,2027-02-10,2027-02-11,,,확정,연1회,개최,휴스턴,TX,George R. Brown CC,수소·에너지,,,⚠ 미확인,⚠ 미확인,외부,⚠,hydrogen-expo.com,2026-08-11,"400+사·7,000+명 주장(연도 미확인)"
62,The NAFEM Show,2027 미국 올랜도 주방기구 전시회 [The NAFEM Show],2027-02-11,2027-02-13,,,확정,⚠ 미확인,⚠ 미확인,올랜도,,Orange County Convention Center,"생활용품&가구, 식품&음료",325000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
63,2027 COTERIE- Women's Fashion Show in New York,2027 미국 뉴욕 춘계 패션 코테리 전시회,2027-02-17,2027-02-19,,,확정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,패션&섬유,50000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
64,NADA Show,2027 미국 올랜도 자동차딜러 전시회,2027-02-17,2027-02-20,2027-02-18,2027-02-20,확정,연1회,개최,올랜도,FL,Orange County CC West Concourse,자동차 유통,,,⚠ 미확인,⚠ 미확인,외부,✅,nada.org,2026-08-11,회의/전시 분리 확인
65,Toy Fair,2027 미국 뉴욕 완구 전시회  [toyfair],2027-02-20,2027-02-23,,,확정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,유아·아동&교육&임산부,150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
66,2027 MEDTRADE,2027 미국 피닉스 가정용 의료기기 전시회,2027-03-01,2027-03-31,,,월단위추정,⚠ 미확인,⚠ 미확인,"피닉스, AZ",,Phoenix Convention Center,기타,63500,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-03-01~2027-03-31
67,Natural Products Expo West,2027 미국 애너하임 천연건강식품 전시회,2027-03-02,2027-03-05,2027-03-03,2027-03-05,확정,연1회,개최,애너하임,CA,Anaheim Convention Center,식품·건강,,,⚠ 미확인,⚠ 미확인,외부,⚠,,2026-08-11,집계사이트만 — 공식 확인 필요
68,Texas Technology Summit,2027 미국 휴스턴 IT 서밋,2027-03-04,2027-03-04,,,확정,연1회,개최,휴스턴,TX,Norris Conference Center,IT,,,⚠ 미확인,⚠ 미확인,외부,⚠,technologysummit.net,2026-08-11,단일일·소규모
69,Be+Well,2027 미국 뉴욕 미용 전시회 [Be+Well],2027-03-07,2027-03-09,,,확정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,뷰티&미용용품,150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
70,Coffee Fest New York,2027 미국 뉴욕 커피 전시회,2027-03-07,2027-03-10,,,확정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,식품&음료,150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
71,IECSC,"2027 미국 뉴욕 미용, 스파 전시회 [IECSC]",2027-03-07,2027-03-09,,,확정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,뷰티&미용용품,150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
72,New York Restaurant Show,2027 미국 뉴욕 레스토랑&식품 전시회,2027-03-07,2027-03-09,,,확정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,식품&음료,150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
73,Seafood Expo North America,2027 미국 보스턴 수산물 전시회,2027-03-07,2027-03-09,,,확정,⚠ 미확인,⚠ 미확인,보스턴,,Boston Convention Exhibition Center,"식품&음료, 농수산&임업",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
74,SATELLITE × GovMilSpace 2027,2027 미국 워싱턴 위성 통신 전시회 [SATSHOW],2027-03-08,2027-03-11,,,확정,⚠ 미확인,⚠ 미확인,워싱턴,,Walter E Washington Convention Center,"정보통신기술(IT)&S/W, 기계&장비, 전기전자&반도체, 항공&우주, 방위산업",92000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
75,SXSW EDU,2027 미국 오스틴 SXSW EDU,2027-03-13,2027-03-16,,,확정,연1회,개최,오스틴,TX,Austin Convention Center,교육,,,⚠ 미확인,⚠ 미확인,외부,✅,sxswedu.com,2026-08-11,
76,International Battery Seminar & Exhibit,2027 미국 올랜도 배터리 세미나,2027-03-15,2027-03-18,,,확정,연1회,개최,올랜도,FL,Rosen Shingle Creek,배터리,,,⚠ 미확인,⚠ 미확인,외부,⚠,,2026-08-11,Battery Show NA와 별개
77,NSSGA AGG1 Aggregates Academy & Expo,2027 미국 인디애나주 골재 전시회 [AGG1],2027-03-15,2027-03-17,,,확정,⚠ 미확인,⚠ 미확인,네슈빌,,Music City Center,건축&기자재,258000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
78,SXSW,2027 미국 오스틴 사우스바이사우스웨스트,2027-03-15,2027-03-21,,,확정,연1회,개최,오스틴,TX,Austin Convention Center 외,테크·미디어·문화,,,⚠ 미확인,⚠ 미확인,외부,✅,sxsw.com,2026-08-11,배지 판매 2026-08-18 개시
79,World of Asphalt-Show and Conference,2027 미국 인디애나폴리스 아스팔트 전시회 [WOA],2027-03-15,2027-03-17,,,확정,⚠ 미확인,⚠ 미확인,뉴올리언즈,,Music City Center,건축&기자재,25800,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
80,RSA Conference 2027,2027 미국 샌프란시스코 정보보안 전시회,2027-03-26,2027-03-28,,,확정,⚠ 미확인,⚠ 미확인,샌프란시스코,,Moscone Convention Center,기타,46678,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
81,Energy & Mobility Conference & Expo,2027 미국 클리블랜드 에너지모빌리티 전시회,2027-03-29,2027-03-31,,,확정,연1회,개최,클리블랜드,OH,⚠ 미확인,에너지·모빌리티,,,⚠ 미확인,⚠ 미확인,외부,⚠,energyandmobility.org,2026-08-11,
82,SEMICON West,2027 미국 피닉스 반도체 전시회,2027-03-30,2027-04-01,,,확정,연1회,개최,피닉스,AZ,Phoenix Convention Center,반도체,,,⚠ 미확인,⚠ 미확인,외부,✅✅,semi.org,2026-08-11,"SF→피닉스 상설·춘계 전환. 2028 5/9-11, 2029 4/3-5"
83,National Facility Management & Technology 2027,2027 미국 볼티모어 미건물유지보수 및 관련 기술 전시회 [NFMT],2027-03-31,2027-04-02,,,확정,⚠ 미확인,⚠ 미확인,볼티모어,,Baltimore Convention Center,"유리&광학, 건축&기자재, 전력&에너지, 생활용품&가구, 환경&폐기물, 기계&장비",280000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
84,2027 Sea Air Space Exposition,2027 미국 메릴랜드 해양항공우주 전시회 [SAS],2027-04-04,2027-04-07,,,확정,⚠ 미확인,⚠ 미확인,메릴랜드,,Gaylord National Convention Center,"정보통신기술(IT)&S/W, 방위산업, 조선&플랜트, 항공&우주",247171,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,
